citizen,country,time,TOTAL,TOTAL_POS
AF,AT,2008Q1,185.0,150.0
AF,AT,2008Q2,245.0,185.0
AF,AT,2008Q3,260.0,180.0
AF,AT,2008Q4,255.0,140.0
AF,AT,2009Q1,395.0,165.0
AF,AT,2009Q2,425.0,245.0
AF,AT,2009Q3,440.0,235.0
AF,AT,2009Q4,510.0,230.0
AF,AT,2010Q1,605.0,225.0
AF,AT,2010Q2,575.0,250.0
AF,AT,2010Q3,480.0,260.0
AF,AT,2010Q4,430.0,245.0
AF,AT,2011Q1,495.0,340.0
AF,AT,2011Q2,500.0,360.0
AF,AT,2011Q3,715.0,385.0
AF,AT,2011Q4,880.0,335.0
AF,AT,2012Q1,1025.0,280.0
AF,AT,2012Q2,820.0,295.0
AF,AT,2012Q3,880.0,355.0
AF,AT,2012Q4,850.0,320.0
AF,AT,2013Q1,985.0,360.0
AF,AT,2013Q2,905.0,395.0
AF,AT,2013Q3,720.0,340.0
AF,AT,2013Q4,600.0,355.0
AF,AT,2014Q1,135.0,120.0
AF,AT,2014Q2,335.0,295.0
AF,AT,2014Q3,410.0,380.0
AF,AT,2014Q4,655.0,595.0
AF,AT,2015Q1,590.0,510.0
AF,AT,2015Q2,665.0,520.0
AF,AT,2015Q3,670.0,515.0
AF,AT,2015Q4,765.0,565.0
AF,AT,2016Q1,895.0,620.0
AF,AT,2016Q2,1370.0,750.0
AF,AT,2016Q3,1895.0,940.0
AF,AT,2016Q4,2875.0,1565.0
AF,AT,2017Q1,2850.0,1510.0
AF,AT,2017Q2,4125.0,1940.0
AF,AT,2017Q3,4505.0,1635.0
AF,AT,2017Q4,6245.0,1720.0
AF,BE,2008Q1,135.0,30.0
AF,BE,2008Q2,260.0,60.0
AF,BE,2008Q3,240.0,45.0
AF,BE,2008Q4,230.0,70.0
AF,BE,2009Q1,245.0,70.0
AF,BE,2009Q2,360.0,60.0
AF,BE,2009Q3,265.0,55.0
AF,BE,2009Q4,375.0,95.0
AF,BE,2010Q1,335.0,120.0
AF,BE,2010Q2,420.0,120.0
AF,BE,2010Q3,325.0,180.0
AF,BE,2010Q4,335.0,245.0
AF,BE,2011Q1,310.0,170.0
AF,BE,2011Q2,355.0,160.0
AF,BE,2011Q3,290.0,170.0
AF,BE,2011Q4,575.0,320.0
AF,BE,2012Q1,530.0,285.0
AF,BE,2012Q2,640.0,390.0
AF,BE,2012Q3,605.0,395.0
AF,BE,2012Q4,755.0,420.0
AF,BE,2013Q1,730.0,400.0
AF,BE,2013Q2,645.0,340.0
AF,BE,2013Q3,595.0,385.0
AF,BE,2013Q4,600.0,310.0
AF,BE,2014Q1,405.0,250.0
AF,BE,2014Q2,505.0,305.0
AF,BE,2014Q3,570.0,415.0
AF,BE,2014Q4,500.0,285.0
AF,BE,2015Q1,405.0,280.0
AF,BE,2015Q2,400.0,300.0
AF,BE,2015Q3,325.0,200.0
AF,BE,2015Q4,340.0,210.0
AF,BE,2016Q1,465.0,235.0
AF,BE,2016Q2,595.0,335.0
AF,BE,2016Q3,600.0,395.0
AF,BE,2016Q4,795.0,520.0
AF,BE,2017Q1,1065.0,665.0
AF,BE,2017Q2,1295.0,780.0
AF,BE,2017Q3,1380.0,785.0
AF,BE,2017Q4,,
AF,BG,2008Q1,10.0,0.0
AF,BG,2008Q2,15.0,10.0
AF,BG,2008Q3,10.0,5.0
AF,BG,2008Q4,10.0,5.0
AF,BG,2009Q1,10.0,10.0
AF,BG,2009Q2,10.0,5.0
AF,BG,2009Q3,20.0,10.0
AF,BG,2009Q4,10.0,5.0
AF,BG,2010Q1,5.0,0.0
AF,BG,2010Q2,5.0,0.0
AF,BG,2010Q3,5.0,5.0
AF,BG,2010Q4,5.0,0.0
AF,BG,2011Q1,5.0,5.0
AF,BG,2011Q2,5.0,5.0
AF,BG,2011Q3,5.0,5.0
AF,BG,2011Q4,30.0,15.0
AF,BG,2012Q1,10.0,10.0
AF,BG,2012Q2,10.0,5.0
AF,BG,2012Q3,15.0,0.0
AF,BG,2012Q4,10.0,0.0
AF,BG,2013Q1,15.0,5.0
AF,BG,2013Q2,20.0,0.0
AF,BG,2013Q3,5.0,0.0
